iter	Passed	Remaining
642	1956	1086
643	1957	1082
644	1959	1078
645	1962	1075
646	1964	1072
647	1966	1068
648	1968	1064
649	1970	1060
650	1971	1057
651	1973	1053
652	1975	1049
653	1981	1048
654	1984	1045
655	1986	1041
656	1989	1038
657	1995	1037
658	1997	1033
659	1998	1029
660	2001	1026
661	2002	1022
662	2004	1018
663	2007	1015
664	2009	1012
665	2010	1008
666	2012	1004
667	2014	1001
668	2015	997
669	2017	993
670	2018	989
671	2020	986
672	2030	986
673	2032	982
674	2034	979
675	2035	975
676	2037	972
677	2039	968
678	2042	965
679	2043	961
680	2045	958
681	2046	954
682	2048	950
683	2050	947
684	2053	944
685	2055	940
686	2056	937
687	2058	933
688	2059	929
689	2061	926
690	2063	922
691	2064	919
692	2067	915
693	2069	912
694	2071	908
695	2072	905
696	2074	901
697	2076	898
698	2077	894
699	2079	891
700	2081	887
701	2083	884
702	2085	881
703	2087	877
704	2089	874
705	2090	870
706	2092	867
707	2096	864
708	2098	861
709	2101	858
710	2103	855
711	2105	851
712	2111	850
713	2113	846
714	2116	843
715	2117	839
716	2119	836
717	2121	833
718	2122	829
719	2124	826
720	2127	823
721	2128	819
722	2130	816
723	2132	812
724	2134	809
725	2135	806
726	2137	802
727	2138	799
728	2141	796
729	2142	792
730	2144	789
731	2145	785
732	2147	782
733	2148	778
734	2150	775
735	2151	771
736	2153	768
737	2156	765
738	2159	762
739	2163	759
740	2165	756
741	2166	753
742	2169	750
743	2171	747
744	2174	744
745	2177	741
746	2179	738
747	2182	735
748	2189	733
749	2191	730
750	2193	727
751	2194	723
752	2195	720
753	2197	717
754	2199	713
755	2201	710
756	2203	707
757	2205	704
758	2207	700
759	2208	697
760	2210	694
761	2212	691
762	2216	688
763	2217	685
764	2219	681
765	2220	678
766	2224	675
767	2226	672
768	2231	670
769	2233	667
770	2238	664
771	2239	661
772	2241	658
773	2245	655
774	2248	652
775	2250	649
776	2253	646
777	2254	643
778	2256	640
779	2260	637
780	2263	634
781	2265	631
782	2267	628
783	2269	625
784	2271	622
785	2279	620
786	2283	618
787	2284	614
788	2286	611
789	2289	608
790	2292	605
791	2293	602
792	2295	599
793	2296	595
794	2300	593
795	2302	590
796	2306	587
797	2309	584
798	2311	581
799	2312	578
800	2313	574
801	2315	571
802	2321	569
803	2326	567
804	2327	563
805	2329	560
806	2331	557
807	2333	554
808	2335	551
809	2336	548
810	2339	545
811	2343	542
812	2345	539
813	2347	536
814	2350	533
815	2351	530
816	2353	527
817	2354	523
818	2356	520
819	2358	517
820	2360	514
821	2363	511
822	2367	509
823	2369	506
824	2370	502
825	2372	499
826	2374	496
827	2375	493
828	2380	491
829	2382	488
830	2384	485
831	2387	482
832	2389	479
833	2392	476
834	2393	473
835	2397	470
836	2400	467
837	2403	464
838	2405	461
839	2407	458
840	2409	455
841	2413	452
842	2415	449
843	2417	446
844	2421	444
845	2422	441
846	2424	438
847	2426	435
848	2430	432
849	2432	429
850	2434	426
851	2440	423
852	2442	421
853	2445	418
854	2447	415
855	2449	412
856	2452	409
857	2456	406
858	2463	404
859	2464	401
860	2468	398
861	2469	395
862	2471	392
863	2472	389
864	2474	386
865	2475	383
866	2477	379
867	2479	377
868	2484	374
869	2486	371
870	2490	368
871	2492	365
872	2494	362
873	2496	359
874	2498	356
875	2500	353
876	2502	350
877	2505	348
878	2507	345
879	2509	342
880	2513	339
881	2515	336
882	2516	333
883	2518	330
884	2519	327
885	2521	324
886	2524	321
887	2528	318
888	2530	315
889	2532	313
890	2534	310
891	2535	307
892	2537	304
893	2539	301
894	2541	298
895	2545	295
896	2548	292
897	2549	289
898	2551	286
899	2552	283
900	2554	280
901	2556	277
902	2559	274
903	2561	271
904	2562	269
905	2564	266
906	2565	263
907	2567	260
908	2569	257
909	2571	254
910	2573	251
911	2574	248
912	2576	245
913	2577	242
914	2579	239
915	2580	236
916	2587	234
917	2590	231
918	2592	228
919	2594	225
920	2595	222
921	2597	219
922	2599	216
923	2610	214
924	2612	211
925	2614	208
926	2615	205
927	2618	203
928	2620	200
929	2622	197
930	2624	194
931	2626	191
932	2628	188
933	2630	185
934	2634	183
935	2637	180
936	2638	177
937	2640	174
938	2642	171
939	2643	168
940	2645	165
941	2647	163
942	2650	160
943	2651	157
944	2653	154
945	2654	151
946	2656	148
947	2657	145
948	2658	142
949	2660	140
950	2664	137
951	2665	134
952	2667	131
953	2668	128
954	2670	125
955	2671	122
956	2673	120
957	2674	117
958	2676	114
959	2678	111
960	2680	108
961	2681	105
962	2683	103
963	2685	100
964	2686	97
965	2688	94
966	2691	91
967	2693	89
968	2698	86
969	2701	83
970	2703	80
971	2705	77
972	2707	75
973	2709	72
974	2710	69
975	2712	66
976	2720	64
977	2724	61
978	2728	58
979	2729	55
980	2731	52
981	2732	50
982	2734	47
983	2743	44
984	2746	41
985	2748	39
986	2750	36
987	2754	33
988	2756	30
989	2761	27
990	2763	25
991	2765	22
992	2770	19
993	2773	16
994	2774	13
995	2776	11
996	2778	8
997	2779	5
998	2780	2
999	2783	0
